Animal,Time,SD-DR,SD-DA,SD-DC,SD-DCA,SD-NR,SD-NA,SD-NC,SD-NCA,LD-DR,LD-DA,LD-DC,LD-DCA,LD-NR,LD-NA,LD-NC,LD-NCA,M-DR,M-DH,M-DA,M-DC,M-DAC,M-DH2,M-NR,M-NH,M-NA,M-NC,M-NAC,M-NH2
1,3,3.95,1.38,1.96,1.26,12.49,1.19,5.66,6.89,0.69,4.18,4.05,7.87,4.87,0.00,18.03,0.00,0.00,0.00,0.00,2.38,0.00,1.06,0.20,3.99,7.00,0.00,1.47,2.6
1,30,31.88,47.83,23.12,48.46,34.40,45.47,52.81,24.03,36.72,23.11,,40.11,44.51,37.78,16.84,17.19,13.29,18.33,10.71,18.02,13.19,24.07,26.74,16.09,1.68,11.28,31.19,29.07
4,3,3.26,1.11,8.00,5.34,4.31,3.06,5.61,6.26,7.56,1.99,2.25,0.00,11.61,1.35,27.25,4.43,0.00,0.00,0.00,3.60,3.26,1.44,0.00,2.29,1.42,6.24,0.42,3.36
4,30,28.07,43.79,67.94,32.84,32.30,46.94,25.59,40.35,7.07,42.09,12.99,26.07,1.35,35.60,23.90,37.34,24.80,26.48,23.17,26.97,24.96,52.29,32.36,43.89,17.91,45.11,16.97,35.44
6,3,3.50,9.06,8.39,7.46,4.19,3.03,2.57,19.94,2.90,1.45,0.00,4.54,11.64,8.60,4.89,11.41,1.47,0.00,1.10,0.31,0.25,3.78,0.00,0.23,0.00,0.00,1.23,0
6,30,42.28,23.58,29.23,12.97,18.28,14.82,10.69,21.30,5.43,21.90,17.18,28.89,19.98,34.56,19.86,29.30,14.11,20.14,,18.08,13.91,22.15,12.72,21.93,5.77,2.13,28.13,9.87
7,3,7.77,3.78,3.50,2.50,14.18,2.67,2.58,0.00,0.00,0.00,12.88,0.00,1.47,2.85,2.45,3.55,2.93,20.62,1.55,0.00,22.04,17.38,1.10,0.00,0.85,0.00,3.13,0
7,30,38.68,38.71,32.51,23.59,34.80,27.38,20.78,34.59,23.33,33.31,39.51,34.29,17.29,23.62,36.88,57.54,20.19,15.24,20.96,23.25,22.05,1.15,5.37,14.35,6.81,10.01,19.01,26.91
9,3,3.41,3.01,5.26,2.10,1.69,0.48,3.15,10.16,3.40,4.89,1.30,0.00,5.59,19.71,9.33,1.62,0.00,1.24,0.69,0.06,0.17,0.48,3.34,0.65,0.66,0.00,4.44,2.81
9,30,30.89,44.59,39.83,26.85,25.98,31.58,11.89,27.28,19.49,33.21,33.44,32.74,15.74,46.13,17.87,37.43,25.17,17.38,13.14,15.87,18.64,27.35,17.26,20.75,15.75,13.87,39.17,24.81
