Animal,TIME,A,B,C,D
A,0,9,10,11,12
A,15,12,20,25,30
A,30,16,30,40,50
A,45,20,40,55,70
B,0,9,11,13,15
B,15,27,30,33,36
B,30,30,33,36,39
B,45,10,13,16,19
C,0,9,11,13,15
C,15,22,28,34,40
C,30,27,35,41,47
C,45,7,20,32,40
D,0,12,16,19,24
D,15,50,54,58,62
D,30,20,24,28,32
D,45,46,50,54,58
E,0,12,13,14,15
E,15,34,36,38,40
E,30,39,41,43,45
E,45,44,46,48,50
F,0,0.01,13,14,15
F,15,23,36,38,40
F,30,28,41,43,45
F,45,33,46,48,50
G,0,2,16,20,24
G,15,40,54,58,62
G,30,10,24,28,32
G,45,38,50,54,58
H,0,5,20,35,50
H,15,25,38,45,56
H,30,46,52,57,63
H,45,67,68,69,70
I,0,6,14,22,30
I,15,16,24,32,40
I,30,28,36,44,52
I,45,42,50,58,66
J,0,6,14,22,30
J,15,16,24,32,40
J,30,28,36,44,52
J,45,66,50,58,42
K,0,6,14,22,30
K,15,24,40,32,16
K,30,44,28,36,52
K,45,42,66,58,50
